來源,代碼,類別,R,G,B
95,050202,兼工業使用住宅,255,204,0
95,050203,兼商業使用住宅,204,0,102
95,050204,兼其他使用住宅,255,255,51
95,0503,工業,204,102,0
95,050301,製造業,204,102,0
95,050302,食儲,255,153,0
95,0504,其它建築用地,153,102,0
95,050401,宗教,51,0,204
95,050402,殯葬設施,255,255,255
95,050403,興建中,255,204,102
95,050404,其他,153,102,0
95,06,公共設施使用土地,204,0,204
95,0601,政府機關,204,0,204
95,060100,政府機關,204,0,204
95,0602,學校,153,0,153
95,060201,幼稚園,204,153,204
95,060202,小學,153,0,153
95,060203,中學,153,0,204
95,060204,大專院校,204,0,255
95,060205,特種學校,153,51,204
95,0603,醫療保健,0,102,204
95,060300,醫療保健,0,102,204
95,0604,社會福利設施,255,153,255
95,060400,社會福利設施,255,153,255
95,0605,公用設備,0,204,204
95,060501,氣象,0,255,255
95,060502,電力,51,255,255
95,060503,瓦斯,102,255,255
95,060504,自來水,0,204,255
95,060505,加油站,204,51,51
95,0606,環保設施,153,255,255
95,060600,環保設施,153,255,255
95,07,遊憩使用土地,0,51,0
95,0701,文化設施,204,204,0
95,070101,法定文化資產,204,204,0
95,070102,一般文化設施,153,153,0
95,070103,其他文化設施,204,204,102
95,0702,休閒設施,0,204,51
95,070201,公園綠地廣場,0,204,51
95,070202,遊樂場所,255,102,253
95,070203,體育場所,204,204,255
95,08,礦業使用土地,102,51,102
95,0801,礦業,51,0,0
95,080101,礦場,51,0,0
95,080102,礦業相關設施,153,102,51
95,0802,土石,102,51,102
95,080201,土石採取埸,102,51,102
95,080202,土石相關設施,153,102,153
95,0803,鹽業,153,153,204
95,080301,鹽田,153,153,204
95,080302,鹽業相關設施,153,153,255
95,09,苴他使用土土也,51,51,51
95,0901,軍事用地,204,51,255
95,090100,軍事用地,204,51,255
95,0902,溼地,0,204,102
95,090200,溼地,0,204,102
95,0903,草生地,51,204,102
95,090300,草生地,51,204,102
95,0904,裸露地,102,51,0
95,090401,灘地,51,51,0
95,090402,崩塌地,102,102,0
95,090403,礁岩,204,102,51
95,090404,裸露空地,204,102,102
95,0905,灌木荒地,153,153,51
95,090500,灌木荒地,153,153,51
95,0906,災害地,0,0,0
95,090600,災害地,0,0,0
95,0907,營建剩餘土石方,51,51,51
95,090700,登建剩餘土石方,51,51,51
95,0908,空置地,255,255,204
95,090801,未使用地,204,204,51
95,090802,人工改變中土地,204,153,102
95,090803,測量標,153,0,51
105,01,農業利用土地,152,230,0
105,0101,水田,209,255,115
105,010101,水稻田,171,220,97
105,010102,具他水田,110,221,97
105,0102,旱田,233,255,190
105,010201,旱作,198,230,150
105,010202,茶園,56,204,61
105,010203,雜作地,200,205,56
105,0103,果園,126,237,39
105,010301,常綠果樹,99,192,59
105,010302,落葉果樹,170,192,60
105,010303,檳榔,142,169,68
105,0104,水產養殖,138,255,218
105,010400,水產養殖,138,255,218
105,0105,畜牧,159,177,105
105,010501,畜禽舍,112,134,79
105,010502,牧場,147,203,62
105,0106,農業相關設施,168,168,0
105,010601,溫室,107,144,75
105,010602,其他農業相關設施,77,101,57
105,02,森林利用土地,90,194,0
105,0201,針棄林,58,122,42
105,020100,針葉林,58,122,42
105,0202,闊菓林,56,168,0
105,020200,闊葉林,56,168,0
105,0203,竹林,79,190,15
105,020300,竹林,79,190,15
105,0204,混淆林,24,141,13
105,020401,針闊葉混淆林,44,124,10
105,020402,竹闊葉混淆林,74,162,37
105,020403,竹針葉混淆林,36,97,10
105,020404,竹針闊葉混淆林,35,81,16
105,0205,灌木林,122,186,101
105,020500,灌木林,122,186,101
105,0206,其他森林利用土地,58,81,23
105,020601,伐木跡地,193,169,71
105,020602,苗圃,44,199,70
105,020603,防火線,196,161,77
105,020604,土場,225,173,52
105,03,交通利用土地,255,85,0
105,0301,機場,174,120,255
105,030100,機場,174,120,255
105,0302,一般鐵路及相關設施,255,110,255
105,030201,一般鐵路,233,119,210
105,030202,一般逢路相關設施,176,87,158
105,0303,高速鐵路及相關設施,109,0,189
105,030301,高速鐵路,129,81,212
105,030302,高速鐵路相關設施,99,62,162
105,0304,捷運及相關設施,163,38,255
105,030401,捷運路線,148,78,239
105,030402,捷運相關設施,115,59,189
105,0305,國道,230,0,0
105,030500,國道,230,0,0
105,0306,省道,255,120,120
105,030600,省道,255,120,120
105,0307,快速公路,255,20,165
105,030700,快逵公路,255,20,165
105,0308,一般道路,231,148,163
105,030800,一般道路,231,148,163
105,0309,道路相關設施,211,142,191
105,030901,停車易,143,120,174
105,030902,其他道路相關設施,95,76,119
105,0310,港口,103,141,174
105,031001,商港,79,108,203
105,031002,漁港,116,134,192
105,031003,專用港,90,109,169
105,031004,其他港口設施,63,72,101
105,04,水利利用土地,151,219,242
105,0401,河道,190,232,255
105,040101,河川,164,215,245
105,040102,減河,16,215,245
105,040103,運河,110,199,250
105,0402,堤防,156,156,156
105,040200,堤防,156,156,156
105,0403,溝渠,166,205,213
105,040300,溝渠,166,205,213
105,0404,水庫,70,212,206
105,040400,水庫,70,212,206
105,0405,湖泊,121,238,233
105,040500,湖泊,121,238,233
105,0406,蓄水池,158,215,194
105,040600,蓄水池,158,215,194
105,0407,水道沙洲灘地,214,136,0
105,040700,水道沙洲灘地,214,136,0
105,0408,水利構造物,53,95,96
105,040801,水閘門,87,103,124
105,040802,抽水站,112,143,161
105,040803,水庫堰壩,90,133,158
105,040804,地下取水井,36,120,168
105,040805,其他水利設施,92,126,145
105,0409,防汛道路,204,204,204
105,040900,防汛道路,204,204,204
105,0410,海面,158,202,255
105,041000,海面,158,202,255
105,05,建築利用土地,255,161,161
105,0501,商業,194,0,6
105,050101,批發零售,216,5,61
105,050102,服務業,228,62,106
105,0502,純住宅,255,244,41
105,050200,純住宅,255,244,41
105,0503,混合使用住宅,235,224,82
105,050301,兼工業使用住宅,202,178,26
105,050302,兼匿業使用住宅,228,180,25
105,D50303,兼其他使用住宅,236,193,83
105,0504,製造業,255,194,61
105,050400,製造業,255,194,61
105,0505,倉儲,165,129,68
105,050500,倉儲,165,129,68
105,0506,宗教,197,0,255
105,050600,宗教,197,0,255
105,0507,殯葬設施,130,130,130
105,050700,殯葬設施,130,130,130
105,0508,其他建築用地,205,205,102
105,050801,興建中,209,136,9
105,050802,其他,186,104,73
105,06,公共利用土地,255,197,89
105,0601,政府機關,255,159,41
105,060100,政府嘰關,255,159,41
105,0602,學校,232,190,255
105,060201,幼兒園,235,186,255
105,060202,小學,227,158,255
105,060203,中學,218,129,255
105,060204,大專院校,209,101,235
105,060205,特種學校,201,73,255
105,0603,醫療保健,161,139,246
105,060300,醫療保健,161,139,246
105,0604,社會福利設施,249,224,165
105,060400,社含福利設施,249,224,165
105,0605,公用設備,255,218,150
105,060501,氣象,148,172,176
105,060502,電力,147,161,232
105,060503,瓦斯,239,114,135
105,060504,自來水,164,175,232
105,060505,加油站,123,153,148
105,0606,環保設施,216,141,103
105,060600,環保設施,216,141,103
105,07,遊憩利用土地,255,251,20
105,0701,文化設施,255,255,190
105,070101,法走文化資產,205,205,93
105,070102,一般文化設施,233,233,132
105,070103,其他文化設施,230,230,147
105,0702,公園綠地廣埸,147,255,47
105,070200,公園綠地廣埸,147,255,47
105,0703,休閒設施,191,255,191
105,070301,遊樂場所,246,171,171
105,070302,體育場所,172,172,247
105,08,礦靈利用土地,206,140,255
105,0801,礦業及相關設施,206,153,29
105,080100,礦業及相關設施,206,153,29
105,0802,土石及相關設施,149,111,35
105,080200,土石及相關設施,149,111,35
105,0803,鹽業及相關設施,140,140,140
105,080300,鹽業及相關設施,140,140,140
105,09,其他利用土地,225,225,225
105,0901,溼地,0,168,132
105,090100,溼地,0,168,132
105,0902,草生地,176,211,38
105,090200,草生地,176,211,38
105,0903,裸露地,179,168,46
105,090301,灘地,201,173,137
105,090302,崩遢地,154,137,105
105,090303,礁岩,192,108,34
105,09904,營建剰餘土石收容處理相關設施,51,51,51
105,090400,筐建剰餘土石收容虐淫相關設施,51,51,51
105,0905,空置地,255,236,201
105,090501,未使用地,192,174,84
105,090502,人工改變中土地,188,146,62
109,01,晨集利用土地,152,230,0
109,02,森林利用土地,90,194,0
109,03,交通利用土地,255,85,0
109,04,水利利用土地,151,219,242
109,05,建築利用土地,255,161,161
109,06,公共利用土地,255,197,89
109,07,遊憩利用土舱,255,251,20
109,08,O鹽利用土比,206,140,255
109,09,更他利用土比,225,225,225
109,0101,農宸使用,209,255,115
109,0102,水麦養殖,138,255,218
109,0103,畜牧,159,177,105
109,0104,農索相斛役施,168,168,0
109,0201,針葉林,58,122,42
109,0202,関葉林,56,168,0
109,0203,竹林,79,190,15
109,0204,混淆林,24,141,13
109,0205,濯木林,122,186,101
109,0206,得成林地,4,108,31
109,0207,其他森林利用土地,58,81,23
109,0301,機場,174,120,255
109,0302,一般鐵路及相關設施,255,110,255
109,0303,高速鐵路及相關設,109,0,189
109,0304,捷運及相,163,38,255
109,0305,道路及相關設•施,211,142,191
109,0306,港口,103,141,174
109,0401,河道及溝渠,190,232,255
109,0402,蓄水設施,158,215,194
109,0403,水道沙洲滩此,214,136,0
109,0404,水利構造物,53,95,96
109,0405,防汛道路,204,204,204
109,0406,海面,158,202,255
109,0501,商業,194,0,6
109,0502,纯住宅,255,244,41
109,0503,混合使用住宅,235,224,82
109,0504,製造業,255,194,61
109,0505,倉儲,165,129,68
109,0506,宗教,197,0,255
109,0507,殯葬設施,130,130,130
109,0508,其他建築用地,205,205,102
109,0601,政府機關,255,159,41
109,0602,學校,232,190,255
109,0603,醫療保健,161,139,246
109,0604,社會福利設施,249,224,165
109,0605,公用段倦,255,218,150
109,0606,環保設施,216,141,103
109,0701,文化設施,255,255,190
109,0702,公園嫁能康境,147,255,47
109,0703,休閒設.施,191,255,191
109,0801,冷葉及相關設施,206,153,29
109,0802,土石及相關設施,149,111,35
109,0803,递葉及相關設施,140,140,140
109,0901,濕地,0,168,132
109,0902,草生地,176,211,38
109,0903,裸露地,179,168,46
109,0904,營建韶餘土石收容處理相關設施,51,51,51
109,0905,空置地,255,236,201
109,010101,水田,171,220,97
109,010102,罕田,198,230,150
109,010103,果園,99,192,59
109,010200,水產養殖,138,255,218
109,010301,畜禽舍,112,134,79
109,010302,牧埸,147,203,62
109,010401,農葉生羔設施,107,144,75
109,010402,農葉產銷及加工段,77,101,57
109,020100,刘葉林,58,122,42
109,020200,閲葉林,56,168,0
109,020300,竹林,79,190,15
109,020401,斜閲葉況淆林,44,124,10
109,020402,竹口葉混淆林,74,162,37
109,020403,竹勺葉況淆休,36,97,10
109,020404,竹針関葉混淆林,35,81,16
109,020500,濯木林,122,186,101
109,020600,待成林地,4,108,31
109,020700,其他森林利用土地,58,81,23
109,030100,機場,174,120,255
109,030201,一般鐵路,233,119,210
109,030202,一般鐵路及相開設,176,87,158
109,030301,高速鐵路,129,81,212
109,030302,高速鐵路及相關設施,99,62,162
109,030401,捷運路線,148,78,239
109,030402,捷運相關設施,115,59,189
109,030501,國道,230,0,0
109,030502,省道,255,120,120
109,030503,快速公路,255,20,165
109,030504,一般道路,231,148,163
109,030505,道路相闕段施,95,76,119
109,030601,商港,79,108,203
109,030602,漁港,116,134,192
109,030603,專用港,90,109,169
109,030604,其他港口設施,63,72,101
109,040101,河川,164,215,245
109,040102,減河,16,215,245
109,040103,運河,110,199,250
109,040104,溝渠,166,205,213
109,040201,水庫,70,212,206
109,040202,湖泊,121,238,233
109,040203,蓄水池,122,216,250
109,040300,水道沙洲灘地,214,136,0
109,040401,堤仿,156,156,156
109,040402,水閘門,87,103,124
109,040403,抽水站,112,143,161
109,040404,堰壩,90,133,158
109,040405,地下取水井,36,120,168
109,040406,其他水利設施,92,126,145
109,040500,防汛道路,204,204,204
109,040600,海面,158,202,255
109,050101,零售批發,216,5,61
109,050102,服務業,228,62,106
109,050200,純住宅,255,244,41
109,050301,兼工業使用住宅,202,178,26
109,050302,兼商業使用住宅,228,180,25
109,050303,兼其他使用住宅,236,193,83
109,050400,製造業,255,194,61
109,050500,倉儲,165,129,68
109,050600,宗教,197,0,255
109,050700,殯葬設施,130,130,130
109,050801,興建中,209,136,9
109,050802,其他,186,104,73
109,060100,政府機關,255,159,41
109,060201,幼兒園,235,186,255
109,060202,小學,227,158,255
109,060203,中學,218,129,255
109,060204,大專院校,209,101,235
109,060205,特種學校,201,73,255
109,060300,醫療保健,161,139,246
109,060400,社會福利設施,249,224,165
109,060501,氣象,148,172,176
109,060502,電力,147,161,232
109,060503,瓦斯,239,114,135
109,060504,自來水,164,175,232
109,060505,加油(氣)站,123,153,148
109,060600,環保設施,216,141,103
109,070101,法定文化資產,205,205,93
109,070102,一般文化設施,233,233,132
109,070103,其他文化設施,230,230,147
109,070200,公園綠地廣場,147,255,47
109,070301,遊樂場所,246,171,171
109,070302,體育場所,172,172,247
109,080100,礦業及相關設施,206,153,29
109,080200,土石及相關設施,149,111,35
109,080300,鹽業及相關設施,140,140,140
109,090100,濕地,0,168,132
109,090200,草生地,176,211,38
109,090301,灘地,201,173,137
109,090302,崩塌地,154,137,105
109,090303,礁岩,192,108,34
109,090400,營建剩餘土石收容,51,51,51
109,090501,未使用地,192,174,84
109,090502,人工改變中土地,188,146,62
